trapping_id,squirrel_id,poop_id,year,poop_time,comments
78591,10763,F0208,2008,NA,"O!/B! removed, F0208 ripped out in bag"
78809,8277,P0090,2008,NA,test 21.3 10.3 21.1 9.9;P0090 1441;ht
78810,10176,P0019,2008,NA,ht 7;test 22.4 9.4 20.5 10.4;p0019 153
78813,13682,P0116,2008,NA,ht 0;test 23.7 10.6 24.3 11.4;P0116 17
78815,8249,P0027,2008,NA,P0027
78816,8252,P0026,2008,NA,P0026
78819,10307,P0114,2008,NA,P0114
78820,10681,P0077,2008,NA,P0077
78824,7886,P0135,2008,NA,ht 1;test 22.1 10.1 21.5 10.2;P0135 13
78825,8574,P0074,2008,NA,ht 1; test 22.4 10.2 21.2 10.8;P0074 1
78828,10346,P0031,2008,NA,P0031 16:45
78833,8593,P0047,2008,NA,P0047
78845,7927,P0043,2008,NA,"P0043, P0084 12:25"
78845,7927,P0084,2008,NA,"P0043, P0084 12:25"
78846,8705,P0046,2008,NA,P0046 12:04
78847,7880,P0104,2008,NA,Feces P0104
78849,10112,P0133,2008,NA,Feces P0133
78850,10119,P0022,2008,NA,Feces P0022
78851,10168,P0024,2008,NA,Feces P0024
78852,10353,P0110,2008,NA,Feces P0110
78853,10399,P0062,2008,NA,Feces P0062
78857,13660,P0053,2008,NA,Feces P0053; TAGR removed-infected
78859,8572,P0030,2008,NA,HT 8; P0030 P0076
78859,8572,P0076,2008,NA,HT 8; P0030 P0076
78860,8729,P0061,2008,NA,HT 13; P0061;test 28.1 11.4 27.7 11.5
78863,10137,P0069,2008,NA,HT 1; P0069; P0129
78863,10137,P0129,2008,NA,HT 1; P0069; P0129
78872,8529,P0147,2008,NA,P0147 12:30
78873,8608,P0139,2008,NA,P0139 13:08
78874,8643,P0108,2008,NA,P0108 13:28
78875,8686,P0056,2008,NA,P0056 13:00
78876,10187,P0073,2008,NA,P0073 12:53
78877,10277,P0065,2008,NA,"P0065, P0120 12:00; tagrt looks wrong"
78877,10277,P0120,2008,NA,"P0065, P0120 12:00; tagrt looks wrong"
78879,10334,P0094,2008,NA,P0094 14:46
78880,10347,P0033,2008,NA,P0033 13:50
78881,10382,P0010,2008,NA,P0010 12:00
78882,10418,P0041,2008,NA,P0041 13:42
78883,7876,P0082,2008,NA,Feces P0082
78886,7921,P0075,2008,NA,Feces P0075
78887,8339,P0039,2008,NA,Feces P0039
78890,8735,P0099,2008,NA,Feces P0099 12:24
78894,10324,P0130,2008,NA,Feces P0130
78895,10399,P0075,2008,NA,Feces P0075
78898,10645,P0009,2008,NA,Feces P0009 12:31
78899,10745,P0023,2008,NA,Feces P0023 12:04
78901,13654,P0131,2008,NA,Feces P0131; NOT OWNER
78902,7886,P0058,2008,NA,ht 0; test 20.3 9.4 21.4 10.0;P0058;FM
78904,10136,P0038,2008,NA,test 22.8 11.0 22.0 11.2;P0038 1525
78905,10138,P0015,2008,NA,ht 4;test 22.8 11.0 23.8 10.8;P0015 15
78906,10212,P0021,2008,NA,ht 17;test 23.8 10.8 23.6 10.4;P0021 1
78909,10206,P0028,2008,NA,P0028 12:20
78910,10278,P0059,2008,NA,P0059 11:10
78911,10412,P0029,2008,NA,P0029 12:27
78914,13672,P0063,2008,NA,P0063 11:52
78915,10275,P0095,2008,NA,ht 14;test 21.7 10.0 20.9 10.7;P0095 1
78916,8445,P0072,2008,NA,P0072 12:30
78917,8521,P0051,2008,NA,P0051 11:16
78920,8647,P0070,2008,NA,P0070 11:15
78922,8685,P0112,2008,NA,P0112 11:30
78924,10070,P0048,2008,NA,P0048 12:00
78929,10586,P0016,2008,NA,P0016 11:58
78930,10659,P0040,2008,NA,P0040 11:48
78932,10699,P0096,2008,NA,P0096 11:10
78933,11510,P0126,2008,NA,P0126 12:57
78940,7903,P0040,2008,NA,Feces P0040 12:30;
78943,8726,P0073,2008,NA,Feces P0073 12:15;
78945,10270,P0017,2008,NA,Feces P0017 11:55
78950,11063,P0108,2008,NA,Feces P0108 12:10
78951,13653,P0043,2008,NA,P0043 12:40
78960,8296,P0122,2008,NA,P0122 1:42
78961,8397,P0105,2008,NA,P0105 12:40
78964,10302,P0045,2008,NA,P0045 1:16
78965,7921,P0240,2008,NA,Feces P0240 2:10
78966,8082,P0255,2008,NA,Feces P0255 1:30;
78967,8735,P0192,2008,NA,Feces P0192 2:30
78969,10645,P0217,2008,NA,Feces P0217 2:20
78970,10679,P0218,2008,NA,Feces P0218 2:40
78972,7943,P0008,2008,NA,P0008 12:38;L tag almost ripped
78973,8590,P0103,2008,NA,Feces P0103 12:55
78974,8611,P0285,2008,NA,P0285 12:50
78975,8613,P0007,2008,NA,Feces P0007 12:05
78976,8659,P0288,2008,NA,P0288 12:31
78977,8660,P0006,2008,NA,P0006 2:03
78978,10077,P0148,2008,NA,Feces P0148 1:10
78979,10095,P0071,2008,NA,Feces P0071 1:25
78984,10223,P0182,2008,NA,P0182 1:07
78987,10383,P0055,2008,NA,Feces P0055 11:35; 07
78988,10401,P0067,2008,NA,P0067 11:45
78989,10417,P0014,2008,NA,Feces P0014 11:30
78992,13193,P0196,2008,NA,P0196 12:12
78993,7881,P0191,2008,NA,HT 17; test 24.9 8.6 23.1 8.2; P0191 P
78995,8728,P0279,2008,NA,HT 12; P0279;test 23.1 9.0 23.5 9.0
79005,7903,P0243,2008,NA,Feces P0243 1:30
79006,8353,P0283,2008,NA,Feces P0283 11:25
79008,8720,P0198,2008,NA,Feces P0198 12:50
79009,10119,P0222,2008,NA,Feces P0222 11:15
79010,10213,P0262,2008,NA,Feces P0262 12:30
79011,10215,P0171,2008,NA,Feces P0171 1:50
79013,10352,P0170,2008,NA,Feces P0170 12:00
79014,10353,P0178,2008,NA,Feces P0178 2:10
79016,7943,P0102,2008,NA,Feces P0102 11:25
79017,8418,P0241,2008,NA,P0241 12:06
79018,8594,P0248,2008,NA,P0248 10:40;retagged b/c of poor taggi
79020,8613,P0001,2008,NA,Feces P0001 12:10
79021,8658,P0166,2008,NA,P0166 12:00; last year's colors still!
79023,8751,P0092,2008,NA,Feces P0092 12:25
79027,10292,P0004,2008,NA,Feces P0004 11:00
79028,10311,P0097,2008,NA,Feces P0097 11:58
79029,10327,P0124,2008,NA,Feces P0124 10:35
79031,10336,P0203,2008,NA,P0203 11:27
79032,10593,P0181,2008,NA,P0181 11:10
79033,10600,P0037,2008,NA,Feces P0037 11:55
79034,10636,P0197,2008,NA,P0197 12:11
79036,10727,P0125,2008,NA,Feces P0125 11:15
79037,13193,P0140,2008,NA,Feces P0140 1:15
79038,13655,P0079,2008,NA,Feces P0079 1:20
79041,13687,P0146,2008,NA,Feces P0146 11:00
79042,13688,P0267,2008,NA,P0267 12:15
79043,7897,P0212,2008,NA,HT 16 ; test 24.6 9.9 24.7 9.8 ; P0212
79044,8277,P0216,2008,NA,test 23.6 9.5 24.8 9.8 ; P0216 ; HT 16
79048,10183,P0219,2008,NA,HT 18 ; P0219 15:27
79052,10760,P0221,2008,NA,test 22.9 9.5 24.0 8.5; P0221 ; HT 4
79053,7902,P0183,2008,NA,Feces P0183 11:20
79054,7921,P0263,2008,NA,Feces P0263 11:30
79055,10168,P0289,2008,NA,Feces P0289 1:00
79056,10253,P0256,2008,NA,Feces P0256 12:50
79060,10645,P0195,2008,NA,Feces P0195 12:00
79063,7995,P0044,2008,NA,P0044 11:51
79064,8095,P0144,2008,NA,"Feces P0144 12:50 head injury, let go"
79065,8298,P0110,2008,NA,Feces P0110 12:40
79071,8825,P0286,2008,NA,P0286 11:24
79072,10061,P0278,2008,NA,Feces P0278 11:55
79073,10062,P0115,2008,NA,"P0115, P0189 11:13"
79073,10062,P0189,2008,NA,"P0115, P0189 11:13"
79074,10228,P0118,2008,NA,Feces P0118 1:20
79076,10262,P0050,2008,NA,Feces P0050 12:40
79077,10264,P0252,2008,NA,P0252 11:30
79079,10280,P0020,2008,NA,"P0020, P0066 10:54"
79079,10280,P0066,2008,NA,"P0020, P0066 10:54"
79080,10291,P0234,2008,NA,"P0234, P0247 10:35"
79080,10291,P0247,2008,NA,"P0234, P0247 10:35"
79084,13676,P0184,2008,NA,P0184 12:08
79088,8312,P0205,2008,NA,P0205 P0255
79088,8312,P0255,2008,NA,P0205 P0255
79090,8371,P0187,2008,NA,P0187
79092,8721,P0253,2008,NA,P0253
79093,10081,P0274,2008,NA,P0274
79094,10155,P0217,2008,NA,P0217; Escaped
79101,10624,P0158,2008,NA,P0158
79108,8657,P0227,2008,NA,Feces P0227 12:55
79110,10249,P0254,2008,NA,P0254 1:36
79115,10078,P0220,2008,NA,Feces P0220 11:05
79118,8036,P0119,2008,NA,ht 0; test 19.8 10.0 20.1 10.6;P0119 1
79126,7904,P0169,2008,NA,P0169
79127,7916,P0186,2008,NA,P0186
79128,8016,P0257,2008,NA,Feces P0257 1:15
79129,8288,P0292,2008,NA,P0292 EtOH; P0200 FROZEN
79129,8288,P0200,2008,NA,P0292 EtOH; P0200 FROZEN
79130,8755,P0233,2008,NA,P0233
79131,10169,P0164,2008,NA,P0164
79132,10213,P0180,2008,NA,P0180
79134,10344,P0183,2008,NA,Feces P0183 12:50
79136,10367,P0206,2008,NA,P0206; Released
79137,10399,P0057,2008,NA,Feces P0057 1:40
79138,10625,P0207,2008,NA,P0207
79139,10627,P0163,2008,NA,P0163
79140,10631,P0089,2008,NA,Feces P0089 11:40
79144,7937,P0232,2008,NA,"P0232 1:45 (repr=P1, not P2?)"
79148,10239,P0273,2008,NA,P0273 11:46
79151,10096,P0101,2008,NA,Feces P0101 11:30
79153,10203,P0260,2008,NA,Feces P0260 11:00
79157,8745,P0083,2008,NA,ht 2;test 19.4 8.2 19.6 8.9;P0083 P001
79170,10347,P0251,2008,NA,P0251
79180,8008,P0147,2008,NA,feces P0147 11:32
79181,8443,P0149,2008,NA,feces P0149 11:22
79182,8580,P0150,2008,NA,feces P0150 11:40
79184,8644,P0035,2008,NA,feces P0035 12:15
79194,10353,P0218,2008,NA,Feces P0218 FROZEN
79195,10355,P0244,2008,NA,Feces P0244; Released
79196,10365,P0037,2008,NA,Feces P0037
79199,8222,P0086,2008,NA,Feces P0086 12:45
79208,8576,P0282,2008,NA,P0282 3:18
79209,8592,P0280,2008,NA,P0280 3:00
79213,10183,P0159,2008,NA,P0159 11:38
79214,10184,P0193,2008,NA,P0193 2:30
79216,10642,P0287,2008,NA,P0287 11:47
79219,8296,P0204,2008,NA,P0204 11:45
79225,7884,P0168,2008,NA,feces P0168 2:00
79226,8404,P0180,2008,NA,feces P0180 10:35
79229,13666,P0266,2008,NA,feces P0266 12:43
79230,7921,P0224,2008,NA,Feces P0224 FROZEN 1:30
79232,10112,P0134,2008,NA,Feces P0134; Feces P0240 FROZEN 11:45
79232,10112,P0240,2008,NA,Feces P0134; Feces P0240 FROZEN 11:45
79234,10219,P0165,2008,NA,Feces P0165
79237,10569,P0213,2008,NA,Feces P0213
79240,10678,P0128,2008,NA,Feces P0128
79242,8701,P0255,2008,NA,P0255 1:20
79243,10697,P0194,2008,NA,P0194 2:30
79244,7943,P0327,2008,NA,P0327 12:40
79246,10311,P0304,2008,NA,P0304 12:05
79249,8483,P0314,2008,NA,P0314 12:30
79250,8648,P0226,2008,NA,ht 26; fecal P0226; fecal P0330; rc of
79250,8648,P0330,2008,NA,ht 26; fecal P0226; fecal P0330; rc of
79252,10181,P0332,2008,NA,P0332 12:00
79256,10686,P0208,2008,NA,P0208 11:40
79268,13667,P0209,2008,NA,feces P0209 1:37
79269,7916,P0876,2008,NA,Feces P0876 ETOH; Feces P0624 FROZEN
79269,7916,P0624,2008,NA,Feces P0876 ETOH; Feces P0624 FROZEN
79280,8641,P0846,2008,NA,P0846 3:40
79282,10693,P0842,2008,NA,P0842 1:45
79284,8444,P0589,2008,NA,"P0589 3:55, squeaked at O.19"
79287,8658,P0820,2008,NA,P0820 3:30
79289,10108,P0725,2008,NA,Feces P0725 12:54
79298,10937,P0597,2008,NA,P0597 3:00
79299,7897,P0816,2008,NA,ht 16;test 20.9 9.5 21.6 9.9;P0816 122
79300,8703,P0753,2008,NA,ht 0;test 19.7 8.7 20.2 8.7; P0753 142
79303,10275,P0709,2008,NA,ht 19;P0709 150
79304,8393,P0791,2008,NA,feces P0791 3:40
79306,8647,P0817,2008,NA,feces P0817 2:26
79313,10586,P0797,2008,NA,P0797 frozen;P0801EtOH
79313,10586,P0801,2008,NA,P0797 frozen;P0801EtOH
79314,10307,P0887,2008,NA,Feces P0887 EtOH
79315,10407,P0601,2008,NA,Feces P0601 EtOH
79318,11211,P0902,2008,NA,Feces P0902 EtOH
79320,10061,P0775,2008,NA,P0775 12:05
79321,10062,P0849,2008,NA,P0849 12:40
79323,10687,P0843,2008,NA,P0843 2:30
79324,10713,P0852,2008,NA,P0852 12:10
79325,13679,P0771,2008,NA,P0771 1:14
79326,8418,P0586,2008,NA,P0586 1:10
79332,10596,P0593,2008,NA,P0593 11:20
79333,10718,O0801,2008,NA,"Took DNA: JO080108, JO080109"
79335,7886,P0782,2008,NA,ht 0; test 20.9 8.9 21.4 9.0; P0782 14
79336,8036,P0830,2008,NA,ht 14;test 20.5 10.0 21.1 10.0;P0830 1
79337,8385,P0185,2008,NA,HT 17; P0185 P0025 15.04
79337,8385,P0025,2008,NA,HT 17; P0185 P0025 15.04
79340,10176,P0664,2008,NA,FMRI 1502;P0664
79342,10177,P0904,2008,NA,ht 4;test 19.5 8.6 18.8 9.0;P0904;FMRI
79343,10182,P0256,2008,NA,HT 21; P0256 P0265 15:04
79343,10182,P0265,2008,NA,HT 21; P0256 P0265 15:04
79345,10410,P0032,2008,NA,HT 6; TEST 18.4 7.7 19.8 7.6; P0032 P0
79346,10411,P0261,2008,NA,HT 16; TEST 23.9 8.6 21.8 8.4; P0261 P
79347,10642,P0032,2008,NA,HT 0; TEST 21.0 9.1 21.3 9.0; P0032 P0
79351,7893,P0863,2008,NA,P0863 2:30
79352,8254,P0635,2008,NA,P0635 1:45
79354,8635,P0728,2008,NA,P0728 2:51
79355,8640,P0798,2008,NA,P0798 1:18
79356,8643,P0802,2008,NA,P0802 11:25
79361,10356,P0729,2008,NA,P0729 12:12
79363,10587,P0821,2008,NA,P0821 frozen; P0738 EtOH 12:15
79363,10587,P0738,2008,NA,P0821 frozen; P0738 EtOH 12:15
79364,8443,P0834,2008,NA,P0834 1:20
79365,7831,P0827,2008,NA,P0827 2:10
79366,8579,P0811,2008,NA,P0811 2:23
79368,8597,P0824,2008,NA,P0824 12:55
79370,8644,P0847,2008,NA,P0847 1:05
79371,10139,P0857,2008,NA,P0857 2:45
79373,10271,P0814,2008,NA,P0814 11:00
79374,7889,P0832,2008,NA,"P0832, P0844 12:50"
79374,7889,P0844,2008,NA,"P0832, P0844 12:50"
79375,8209,P0792,2008,NA,P0792 1:05
79376,8476,P0831,2008,NA,P0831 12:10
79377,8505,P0855,2008,NA,"P0855, P0871 1:30"
79377,8505,P0871,2008,NA,"P0855, P0871 1:30"
79378,8825,P0848,2008,NA,P0848 11:50
79379,10061,P0841,2008,NA,P0841 12:45
79380,10125,P0813,2008,NA,P0813 1:45
79381,10264,P0870,2008,NA,"P0870, P0856 1:05"
79381,10264,P0856,2008,NA,"P0870, P0856 1:05"
79382,10380,P0837,2008,NA,P0837 2:20
